Name,RatingValue,DatePublished,Review,Sentiment
Ramen Isshin,5,2020-03-11,"This is my favourite Ramen place!
As aways they didn't disappoint me. I had the Stone Bowl Shoyu Kotteri Tsukemen and my friend had the Garlic Shoyu Ramen and to finish off I got the Mochi for the first time as a dessert. Stone Bowl Shoyu Kotteri Tsukemen was unique! Its cold noodle and you dip the cold noodle into the hot pot! Highly recommend it!",2
Hacienda las Américas,2,2019-01-04,"I really want to write a nicer review for this place because the food is amazing. And $2.50 fish tacos cannot be beat. The sign advertising said fish tacos is what reeled us in. 

But the service was just abysmal. 

My husband and I were eating around Toronto, so we were ordering small plates everywhere we went so we could get the best of all worlds. We ordered their three for $10 tacos (chicken, pork, and beef) and an extra fish taco for $2.50. All the tacos were amazing, the pork being our favourite and the beef, although good, was our least favourite (it was a bit dry). However, the server seemed annoyed that the two of us were ordering so little. We weren't offered side plates to share the tacos, so they were dripping everywhere and we struggled not to make a mess. We were never offered any water and their sauces were very spicy. Thankfully we had our own. And the thing that irked me most was that we were overcharged $1.50 for our tacos. They write the receipts by hand and were originally charged $10 for the three tacos, but they scratched that out and wrote $11.50. Not a huge deal. I asked why we were overcharged and the server said it's because we mixed and matched our tacos. She was kind of rude when I asked. But all the other reviews seem like it's $10 for three tacos regardless of mixing them up. I think they were mad we took up a table and tried to make it up in other ways. I couldn't care less about $1.50, but I don't like shady business practices.",0
Mi Taco Taqueria,3,2019-02-27,"My husband and I went to this cute taqueria last week. I liked the simple ordering process of ordering your food at the counter and then eating in a tucked away back area of the narrow restaurant that was decorated with colourful pennant flags, strings of lights and wooden furniture (some high top tables, others were little booths). I appreciated the cute street food dining type of vibe in there, as well as the friendly staff at the counter and who brought the food to our table.

We ordered the carnita burrito bowl and the grilled fish burrito bowl since we thought it would be more filling than getting just the tacos. When our burrito bowls arrived, each bowl was filled with fresh vegetables, cheese and sour cream to accompany the grilled fish and pork. While the bowls were definitely filling, they were just okay in terms of flavour. I have to admit, it was a bit underwhelming considering the great reviews this place has gotten. Nothing really stood out - I would have loved to taste more of a marinade on the carnitas and the fish was a bit plain. More seasoning or sauces on the protein would have helped the flavours come together more in the burrito bowl. Again, not a horrible meal by any means but not really memorable either... personally, it was a bit of a miss for me on this particular visit but I may come back another time to try some of their other offerings to see if I can upgrade this review.",1
Como En Casa,2,2019-07-05,"Based on the ratings and reviews I was very excited to check this place out. I ordered a ""large chicken burrito"" which cost 14$. I got a really authentic vibe when I walked in. However, the burrito was one of the cheapest ones I've ever eaten. I asked for guacamole.... no guacamole. It was majority lettuce, rice, and bread from the overlapped wrap. Had to search just to find any chicken, very minimal. It was very dry, barely any sauce. Cheese was not good quality. All flavours were very bland. Extremely disappointing, for $14 I expect at minimum good size/quantity but didn't even get that.",0
Ho Ho Barbeque,2,2019-10-08,I was disappointed with this place for the price they charge their portion is so small I got the duck with rice barely any duck a bunch of cheapscapes the duck was okay honestly the duck at congee Queen was better price and way better taste last time I'm coming here,0
Ramen Isshin,2,2020-05-20,"I love Ramen and every winter I'm in Japan . Was dying to try   legendary vegan Isshin ramen  since my English teaser highly recommended . TOO SALTY!! 
In Toronto way more better places . May b other dishes would tests batter , I never back to that one . 
Hope it helps",0
Blu Ristorante,5,2019-04-27,"The food was sooooo amazing! And the service was extremely good! I went there with my friend, and we both were extremely satisfied!",2
98 Aroma,3,2017-09-01,"5/5 venue. Super clean (even the washrooms) for a Chinatown establishment and beautiful interior design -- traditional Beijing palace style! Super cool place to take a date or someone not so familiar with the Chinese culture for an ""authentic"" experience.......

But 3/5 food. Why? No major flaws with taste or quality, but unfortunately the dishes are just kind of boring. The regional cuisine served here is northeastern Chinese, which is my specialty since I hail from Shandong, as do the owner and some of the staff! I find the dishes very clean in that I feel that 98 Aroma uses less corn starch, oil, sodium, and possibly MSG than many other Chinatown restaurants.

3/5 value. Portion sizes are reasonable, but don't expect anything huge that would last for a week for under $10 like at House of Gourmet, etc. Pricier than most Chinese restaurants, but 98 Aroma can get away with this since they do have a swankier and more fusion feel. Think R&D, but with more Chinese-influence. A good place to take your Caucasian coworkers or in-laws, but not to dine alone just because. 

A few notes about specific dishes-

1. I've had the soups here before and the Hot & Sour soup is actually a huge portion even as a small size. The delicate mushrooms soup is not as substantial, so cannot stand alone as a meal.

2. Do order the Summer Breeze Veggie Salad (vegan) -- and make sure you MIX it well as all the sauce (and flavor) is at the bottom of the bowl. $9.99. Big portion, enough to share between 2 people or have as a lighter meal. I loved the textures and glass noodles.

3. Very mediocre Assorted Delicate Veggies (vegan). Broccoli, celery, carrots, and fried tofu. $14.99. Way too basic.

4. My gfs had the scallion pancakes, which looked more cooked and crispier than the ones my mom makes at home, but gfs enjoyed these. 

5. Can't remember the menu name, but gfs ordered a huge ass chicken udon stew, which was massive. They really liked the chicken and flavors here. 

6. Fried green beans with minced beef -- beans were oily and gfs weren't a fan. $13.99.

They take credit, debit cards at no extra charge. We didn't make a reservation for 7PM on a Friday night and were seated immediately, so customer volume is definitely not as high as it used to be a year ago.

Overall, would return, but only with Chinese food novices or for a special occasion.",1
El Nahual Tacos,2,2019-09-10,"To be completely honest. I was expecting more.
I came in during my lunch while practically salivating on hearing the reviews. I ordered the 3 TACOS: FISH, BARBACOA? AND CARNITAS. fish taco was so bland and had no taste. The beef was pretty good. CARNITAS was decent. Service left more to be desired as the gentleman never asked if I wanted anything else but just requested I pay. Felt rushed.!",0
Xola Mexican Food,1,2020-01-29,"I came her few weeks ago. I straight up saw this lady (pretty sure the owner) handle cash/ scratch her head and touched the food right after. I

Of course I only had a few bites and left the rest cause I was so grossed out. When I was paying for my bill, I let her know what I saw and she started giving racist quotes. ""All the chinese places do the same thing"", and walked away.

I would have just left it and not think twice, but for them to say something like that, that is a big nono. 

McDonalds food is higher quality than this. 

DO NOT COME HERE.",0
Stelvio,3,2020-02-15,"The decor was nice and the staff were all very friendly and helpful but it was a veeeery long wait for our main course. I had the Tagliatelle special with sausage, mushroom and black truffles and it was ok, I wasn't that impressed. I wouldn't order it again. But others at my table enjoyed their meals.",1
Asian Legend,3,2019-11-23,"Since living in LA and having a chance to go to Din Tai Fung whenever I wanted, it makes it really hard to think anywhere else could be better. This place was authentic and tastes like bistro dim sum. We got the soup dumplings, shrimp steamed dumplings, and scallion beef rolls.",1
Swatow Restaurant,4,2019-06-14,"Toronto has an authentic Chinatown. Though not quite as vibrant as San Francisco or New York, we found a very good place to eat. 

The won ton soup was plentiful and filled with fresh bok choy and too many noodles to eat. Three of us shared this. Then we had the general tao chicken which was tasty but not overly spicy. And had a sliced beef over rice dish which was also flavorful. 

All in all much better than we can get in Detroit. We enjoyed the meal and would come back but wouldn't feel like we had to come back.",2
Comal y Canela,3,2019-03-10,"Don't expect a Chipotle/Taco Bell type place!

Parking:  There is drive-thru parking for this plaza, but lot was full of deep potholes.  It's best to park on Macdonald Ave.  It's a small residential street, just north of Lawrence.

Restaurant itself is SMALL.  There are 4 tables and a counter with a few stools.  Restaurant opens early for Desayunos.

I believe this restaurant specialises in Michoacan food, the birthplace of canitas, low and slow cooked meats, and stews such as pozole.  Prices for specialty items were on the ""higher end"", e.g. pozole was $15 and a Michoacano Burrito (snout-to-tail, slow cooked pork), $15.  There wasn't much sauce in the burrito itself, no rice, just meat.  It was nicely cooked, but quite porkie.

Overall, the tastes are quite different than, let's say, your typical taco places downtown.  It's more about regional cooking.

Area seems a bit rough, so some of the prices did surprise me.  Ok to try, but I wouldn't drive out of my way (esp at night) to head there!",1
Mariachi’s Restaurant,2,2018-10-13,"Went there on a Sat night at 6pm for dinner before a movie.  
On the plus side the service was reasonably good.  
On the minus side:
1. The prices were much higher than the menu on their website.  This was misleading.
2. The food was small in both flavour and quantity.  

There are far better Mexican restaurants in the area.",0
Swatow Restaurant,4,2020-03-06,"The portions are huge. The place is in chinatown and is always busy. The food is your typical yummy, greasy, Chinese food. 

We had the chicken fried rice and the shrimp noodles. Everything tasted really good",2
Sichuan Garden Restaurant,2,2018-08-17,"Sweet and sour soup was good. Dumplings were good.  Our meals were bleh. Had Tsao chicken, which looked very nice but was more deep fried pieces than chunks of chicken.  My spouse had chicken with ginger and scallions which he enjoyed. A friend had some beef dish that was indescribable.",0
Mariachi’s Restaurant,3,2017-12-09,"It's pretty good Mexican food, and the atmosphere is cute. I sometimes come here for lunch when I am at work. Service is friendly and the food is decent. I've ordered the tacos, nachos and the churros. Can't go wrong.",1
7 Numbers Restaurant,1,2017-07-08,"We came to this place attracted by BlogTO's boast of the best lasagna in town. What's a better way to try the place then the Family Meal it has on the menu. For a set price you get to try a little bit of all their well known food.

It comes with appetizers, salads, pasta, and a main course to share.  With all the rave reviews, we thought we were going to have the best meal of our lives.

To note: Their Lasagna was pretty good. It comes in the menu as a small for just under $10 or a bigger pasta size.  I will return just for that.

Everything else, my companion and I were pretty disappointed.  Granted, it should be pretty hard to screw up a salad. Most is just compilation of freshly chopped up raw ingredients.  One of the salads was dressed REALLY sour.  I ended up taking it home and tossing it with more raw vegetables to be palatable.

The pasta sampler plate they provided came with 3 pasta of their choices - this included the legendary lasagna.  It was the ONLY good thing on the plate. One of the pasta was undercooked so it was still crunchy. We had to send it back to be more ""al dente.""

The only control of choice you have was the main dish. We were able to each choose 2 mains individually -  a pork chop and a lamb shank.  That being the highlight of the meal, we were both pretty disappointed too.  The pork chop was way overcook and tough. The lamb shank - well...we had better elsewhere.

We expected a lot more going into the restaurant especially paying over $100 including wine. We both agree afterwards we should had just gotten a lasagna and that's it.

This place was not horrendous but I would not go out of my way to return.",0
Stelvio,3,2018-09-25,"Queen West small Italian shop with simple black and white décor, sizeable patio but limited seating inside, typical (you'll get the joke soon) Italian fair with a slight focus on risottos and pastas.

I thought just the décor was black and white, but it turned out the placemats and menus were also black and white - there's a collection of black ink art that reminds me of medieval times when artists worked for months on a simple line drawing to get things just right - whether it was embellishment in a single capital letter, or a decorative flower, or the skull of an animal - because you know, all these are completely related and belong side by side. Nothing wrong with it at all, it was definitely unique and presented artfully. 

The menu is deceptively lengthy - dishes are in Italian then described in English. I've never read a menu that uses ""typical"" as it's adjective of choice so much. Most of my party went for pastas - they were smaller portions than desired. It would've been fine as a lunch portion, but for dinner it was insufficient and taste was simpler than expected (or should I say, typical?). The risotto with veal was actually a highlight despite some other reviews and the portion was actually filling, unlike the gnocchi and ravioli items (those were the smallest!). Overall it was really not bad - but unfortunately underwhelming.

Service is very slow if you're a large group - so please spare them and only come with a few friends. You'll enjoy the ambiance more and sharing more items will be more feasible, and your overall experience will just be that much better! If I'm in the area I suppose I could give it another shot, but for one that values taste over aesthetic, I might not be back.",1
Kit Kat Italian Bar & Grill,3,2019-05-29,"I did not choose this place myself, but a friend had reservations for our group of friends on a Saturday night. Waited about 20 minutes to be seated. It is a pretty cozy place and very packed, but I assumed that meant it was delicious too! I thought the food was much too overpriced for the portions. I chose the angel hair pasta and it just tasted like something you whip up at home for a quick meal. I admit I should have just chosen something else with more flavor, but the prices were stopping me. 
I did really enjoy the calamari salad though. It was flavorful and perfectly grilled. Delicious. 
I have to note that it was super chilly inside to the point where my teeth were chattering at the end of our meal. 
I would like to come back to try a different dish though!",1
La Marquesita,4,2019-09-04,"I ordered the pulled pork Campechano Torta which was on special through Ritual eats. It's sort of like a taco one a sandwich was interesting to try. The bread is toasted till it's crunchy which helps prevent it from getting soggy from the salsa's and sauces. The meat was tender and came in a good quantity. One of the salsas was a bit overpowering compared to everything else, but otherwise the sandwich meshed well. Not sure if I would pay full price, since it didn't come with a side chips or anything like that, but as a one off meal I definitely enjoyed it.",2
Carisma,1,2019-07-04,"Disappointed. 
Good service but not so good food. The pasta was so tough to the point of being uncooked!  the bread was good.",0
Byblos,5,2019-02-17,"Contemporary classic lounge fitting for a modern Mediterranean meal. 

Service: The memory of our server was amazing, and she offered some great suggestions for our meal. Had our order down, including the right additions and substitutions without having to write anything down. Was always topping up our water, and the servers cleared our plates/replaced them when they were dirty. Each and every dish was explained to us.

Food: The lamb ribs were fragrant with the scent of sesame and very tender, definitely a must-get. Manti dumplings were interesting, but not a fan of the yogurt sauce. Pide was also delicious, but the cheese masked most of the truffle flavour. Wagyu was cooked perfectly, and the onion and black garlic complimented it very well. Would also get the short rib kebab again and the signature dish from day one the restaurant opened, the roasted lamb shoulder. Topped everything off with a delicious burnt honey ice cream, a perfect ending to the rich experience.

Overall: Dishes were perfectly balanced and seasoned well with Mediterranean spices and flavours - perfect for sharing, although a bit pricey for the portion sizes. Modern take on traditional dishes served in a tapas format.

Tip: Ask for seating upstairs for a more intimate/classy lounge (more dimly lit), main floor seating for a more formal dining experience. Reserve early, as spots get taken up quickly!",2
Itacate,3,2018-10-18,"Were the tacos good? Definitely. Pescado, beef and pork with pineapple, all solid choices with two homemade tortillas each. 

The people were pleasant, though not overly friendly. 

Its cash only, that in my book makes things difficult. 

The wait is long, I had to wait (I was told) 25-30 mins for three tacos. To me they just need to sort out their process to get through orders faster. I understand you have one big order before me and you want to be authentic, but there must be efficiencies.

Maybe if you offered like chips while I wait it would smooth things out for me.

It's delicious and authentic like I said, but not sure I'd wait another 30 mins for tacos.",1
7 Numbers Restaurant,2,2016-05-02,"Tasty food, but a bit of a disappointment.

I booked a big party for my brother's birthday people. They were incredible about this, they kept in communication with me and were actually able to accommodate 26 adults and 6 babies with a week's notice, which grew to 32 adults, then shrunk back to 26 once we got there. Flakiness. 

We all had the $34 prix fixe, which meant three apps and three pastas shared family style and an individual entree dish. I was sitting at a table with 11 other people, and we didn't get enough food. Each of the sharing dishes was a dinner plate size, shared across all 12 of us, leaving everyone with literally 2 soup spoons full of each item. This was a huge surprise to me as I've eaten at the Danforth location with the same sort of setup - big party, shared plates, except we had the same size of dish for 4 people. 

The other tables in our party (table of maybe 8 adults and 4 kids, and another table with 5 adults and two kids) got the same amount of food, and they were pretty stuffed. We ended up asking for a second portion of the pasta, because it really was a very small amount of food per person, especially considering the price of the meal. The server balked at this, but gave us another serving, which was devoured in a second. 

The food itself was very good (though the osso buco was a bit bland), and for the most part, the service was great, but unfortunately the dinner ended with a table of adults who were still hungry.",0
Wilbur Mexicana,5,2019-09-03,"Since my first Wilbur visit I have ventured back my times and each better then the last!

The Fajitas in general are outstanding and at 18$ they make for good value too considering you can share easily

Ohhh and chips with Guac are a must!

........me encanta.",2
Tacos El Asador,2,2020-06-02,"The service was amazing, the guy that greeted us especially was very enthusiastic. But .. when it came from the food. it was definitely 1/5. No flavour , no seasoning no nothing. We ordered 6 Tacos, Guac and chips and cheese Pupusas . To begin with the tacos lets just say we didn't eat them all. The shrimp tasted too.. fishy? not enough toppings on the taco. The beef was blend and so was the chicken. Only good thing about our order was the guac and chips. I normally go to taco Gus at Kensington (highly recommend ) and I regret trying something new.",0
La Chingada,5,2019-10-13,"I live in Chicago and I'm spoiled with delicious Mexican food, so this place blew my mind. 

The sauces are amazing. If they sold them I would've brought a few bottles back with me. I had the taco bowl with chorizo and the choriqueso.  Both were beyond amazing. The chorizo is the best chorizo I ever had in my life.",2
El Catrin Destileria,3,2020-01-14,"Guacamole was good but portions are not that big. The price of dishes are fine. Atmosphere was very nice. For the desert we had churros with chocolate and caramel sauce and they had really good taste and texture. We did waited some extra time for service and we shouldn't, because at that time restaurant wasn't to busy.. No free parking.",1
Como En Casa,3,2019-07-07,"Rating: 3/5

Summary: 
We believe this restaurant is worth a visit if in the area. We have frequented this place multiple times and there is a reason we keep coming back. The service is extremely friendly and the atmosphere, though tight, is rather warm and welcoming. However, one must be careful when picking their dish because while some taste wonderfully flavorful, others are somewhat disappointing.

The dishes we tried: 
- burrito w/ verde sauce
- fish tacos
- chicken enchiladas
- chicken mole
- guac/salsa w/ chips
- mains circa $12-15
- appetizers circa $6-8

Food:
One of our favorite dishes is the Burrito with Verde Sauce. It's a big hot burrito packed with many flavors. What makes it special, however, is the verde sauce that complements the burrito very well. The verde sauce is a tangy and spicy sauce that consists of tomatillos, jalapenos, and lime. You probably won't get burritos smothered with a delicious sauce at other places where you'd think of getting a burrito (Chipotle, etc.). We'd also point out that the Guacamole tastes extremely fresh with a great rich and creamy feel. The chunky and spicy salsa is also great. The two dipping sauces pair well with the tortilla chips and is worth considering if looking for an appetizer.

However, we were disappointed with some of the dishes we ordered. For example, the enchiladas and chicken mole did not satisfy at all. As for the enchiladas, the ones we had were filled with extremely dry chicken and the wrap itself was also unappetizing.

On a positive note, the service is remarkable. The owner once even gave us a free refill for our horchata (a most delightful sweet drink consisting of rice, vanilla, and cinnamon). The servers are very kind and patient, thus contributing to a better dining experience.

Conclusion: 
Google reviews rates this as a 4.5/5. We give it a 3/5. It's worth a visit if in the area, but there are only certain dishes worth eating. We recommend the chicken or burrito with verde sauce and the horchata.

For more quality pictures and honest reviews, follow us on Instagram @pchan_and_sam_reviews. We hope you like our content!",1
Los Guaca-Moles,1,2019-06-01,"II really, really wanted to just love this place and sorry about the loooong review (i am normally not one to have such an extended view) BUT I made two mistakes today:

1) Cancelling my reservation at Playa Cabana ( the last 5:00 pm spot) to go to this restaurant (SMH)
2) The place is supposed to open at 5,like a dumbass I actually waited until 5:20 when they finally decided they felt like opening.

That kind of slackness will get your business shut down in Toronto, with sooooooooooo many good places to go and eat all within blocks who the hell is really gonna stick around and wait for places to open past the time they should be??? ....ohhhhhhhhh the regret folks.   

When I walked in ,there were only two other people seated ( who also decided to sit outside and wait saw them earlier)..hmm wonder if they too had regret, but anyways onto the experience. Walked in and there was a bartender and 1 person sitting at the bar. So we seat ourselves at the front of the restaurant and it literally took the guy behind the bar 10 min. to finally put down some menus, he goes back to the bar chitty chatty with the guy sitting at the bar another 10 min goes by he  comes back to take the order. We order drinks and food (Sabinita-- layers of refried black beans, cheese, sour cream & guacamole, Poblanito -soft tortilla; mole poblano sauce w/shredded chicken breast; garnished w/sesame seeds) and two Pescado- mole poblano sauce w/shredded chicken breast; garnished w/sesame seeds). 

Slowly two of the wait staff make their way in and the guy behind the bar says something in spanish possibly about being late who knows seems to be the trend here, and then another table of patrons come in and than another the wait staff all of two seem confused and dazed. The Sabinita comes to to the table and I ask the waiter if our drinks are coming he says he doesn't know, 5 min later the rest of the order comes out I ask again about the drinks another guy comes over with a menu I said no I ordered them when I first sat down? Repeated the order ( like really the bartender couldn't remember to send out the friggin drinks when at the time there was a total of 4ppl in the place (I could just imagine if there were more than 12 ppl in this place it would be like chaos to remember OMG all these drinks OMG ....seriously its like amateure night in here).

 He comes back minutes later with the drinks, in all fairness not his fault he didn't take the order initially nor was he the  DUH guy that said didn't know when the drinks were coming, and that is the last time we saw anyone come over,no one came by to check on the table to see if everything was good ( which it was NOT) and the place was not busy 4 tables occupied does not constitute as busy.   

 The Poblanito was just ok , the fish tacos were downright dreadful they were breaded in some sort of cornmeal which  was not an issue but the fish they used had a gelatinous texture and honestly there wasn't a dash of seasoning in the coating or the fish itself  not even the toppings were seasoned. IT WAS BLAND  i could barely get through it so so i doused it with hot sauce and still it stank (tastewise) so I only ate the one left the other one on the plate and covered it with my napkin (RIP).

 So now all I have left is half a beer which i'm chugging so I can get the hell outta there!! I indicate to the waiter that we're ready to leave and the bill arrives and he asked how was it ?  I was blunt, honest said it was terrible he was concerned surprised and wanted specifics, so I went off about the fish he said he would go and let the the guy in the back know ,  I said really you don't have to but off he went came back apologised. I said I guess that is just how its done here the only redeeming thing about this whole meal was the Sabinita & the beer.

 Sad to say but  I'm not one to give 2nd chances when it comes to food & service like I said this city is a ""Food Mecca"" too many other places to go and try, so bottom line I would never venture back to this place, I would rather take my $$ and go around the corner to Barrio Coreano or Tacos El Asador where the service and food at least in my experiences have been consistently great .",0
